Path,Physical,Source,Comment,Single-line comment,Block comment,Mixed,Empty
src/components/system/highcharts/extenders/index.ts,8,8,0,0,0,0,0
src/components/system/highcharts/extenders/pdf.hc.extender.tsx,281,177,62,11,51,0,42
src/components/system/highcharts/extenders/percentile.hc.extender.ts,369,230,86,26,60,3,56
src/components/system/highcharts/extenders/scatter.hc.extender.ts,479,351,78,29,49,6,56
src/components/system/highcharts/mockData/box.mock.ts,154,134,8,8,0,3,15
src/components/system/highcharts/mockData/cdf.mock.ts,162,129,21,9,12,4,17
src/components/system/highcharts/mockData/histogram.mock.ts,132,117,10,10,0,3,8
src/components/system/highcharts/mockData/index.ts,5,5,0,0,0,0,0
src/components/system/highcharts/mockData/pdf.mock.ts,141,119,13,13,0,3,12
src/components/system/highcharts/toolbar/highchartsToolbar.scss,361,280,19,6,13,0,62
src/components/system/highcharts/mockData/cone.mock.ts,1132,1112,4,4,0,2,18
src/components/system/highcharts/toolbar/highchartsToolbar.tsx,124,101,2,2,0,0,21
src/components/system/query-tool/query-builder/QueryBuilderComponent.scss,220,156,22,22,0,0,42
src/components/system/query-tool/query-builder/QueryBuilderComponent.tsx,291,226,36,25,11,1,30
src/components/system/query-tool/query-builder/QueryBuilderToolbar.scss,9,8,0,0,0,0,1
src/components/system/query-tool/query-builder/QueryBuilderToolbar.tsx,69,57,0,0,0,0,12
src/components/system/query-tool/query-builder/StandaloneQueryPage.tsx,51,40,5,2,3,3,10
src/components/system/query-tool/query-builder/index.ts,3,3,0,0,0,0,0
src/components/system/query-tool/query-builder/ng-query.controller.ts,254,186,18,12,6,0,50
src/components/system/query-tool/query-view/QueryResultChooser.tsx,134,108,5,5,0,0,21
src/components/system/query-tool/query-view/StandaloneQueryResultPage.tsx,94,78,0,0,0,0,16
src/components/system/query-tool/query-view/index.ts,2,1,0,0,0,0,1
src/components/system/query-tool/query-view/queryView.scss,152,115,3,2,1,1,35
src/components/system/query-tool/query-view/queryViewComponent.tsx,265,187,36,10,26,0,42
src/components/system/query-tool/report/ReportChooser.scss,3,2,0,0,0,0,1
src/components/system/query-tool/report/ReportChooser.tsx,173,125,22,22,0,0,26
src/components/system/query-tool/report/index.ts,3,2,1,1,0,0,0
src/components/system/query-tool/report/queryReportLayoutMessages.ts,8,8,0,0,0,0,0
src/components/system/query-tool/report/queryReportPage.scss,131,100,8,8,0,1,24
src/components/system/query-tool/report/queryReportPage.tsx,415,278,68,18,50,5,77
src/components/system/query-tool/simulation/index.ts,1,1,0,0,0,0,0
src/components/system/query-tool/simulation/simulationChooser.scss,2,2,0,0,0,0,0
src/components/system/query-tool/simulation/simulationChooser.tsx,167,136,6,5,1,1,26
src/ui/fonts/iconic/css/iconic-bootstrap.scss,2353,1766,4,2,2,0,583
src/ui/fonts/iconic/css/iconic-glyphs-legacy.scss,2351,1774,0,0,0,0,577
src/components/system/query-tool/query-builder/server/multicaster.ts,68,53,2,2,0,0,13
src/components/system/query-tool/query-builder/server/routes.ts,171,141,7,3,4,0,23
src/ui/fonts/iconic/css/iconic-foundation.scss,3449,2314,2,0,2,0,1133
src/ui/fonts/iconic/css/iconic-glyphs.scss,2347,1775,0,0,0,0,572
src/components/system/query-tool/query-builder/server/simulations.ts,27,23,1,1,0,0,3
src/components/system/highcharts/toolbar/toolbar-items/areaOpacity.tsx,56,46,0,0,0,0,10
src/components/system/highcharts/toolbar/toolbar-items/fontSize.tsx,77,62,5,4,1,1,11
src/components/system/highcharts/toolbar/toolbar-items/gridLines.tsx,82,62,9,9,0,0,11
src/components/system/highcharts/toolbar/toolbar-items/index.ts,23,18,0,0,0,0,5
src/components/system/highcharts/toolbar/toolbar-items/invert.tsx,23,20,0,0,0,0,3
src/components/system/highcharts/toolbar/toolbar-items/markerSize.tsx,59,47,2,2,0,1,11
src/components/system/highcharts/toolbar/toolbar-items/menu.tsx,47,40,1,1,0,0,6
src/components/system/highcharts/toolbar/toolbar-items/panOrZoom.tsx,30,26,0,0,0,0,4
src/components/system/highcharts/toolbar/toolbar-items/paths.tsx,104,85,1,1,0,0,18
src/components/system/highcharts/toolbar/toolbar-items/percentileColors.tsx,128,94,11,1,10,0,23
src/components/system/highcharts/toolbar/toolbar-items/percentiles.tsx,120,93,11,2,9,0,16
src/components/system/highcharts/toolbar/toolbar-items/regressionLine.tsx,55,44,1,1,0,0,10
src/components/system/highcharts/toolbar/toolbar-items/removeTooltips.tsx,29,21,3,0,3,0,5
src/components/system/highcharts/toolbar/toolbar-items/resetZoom.tsx,16,13,0,0,0,0,3
src/components/system/highcharts/toolbar/toolbar-items/smoothing.tsx,132,109,4,4,0,2,21
src/components/system/highcharts/toolbar/toolbar-items/statistics.tsx,143,114,4,4,0,0,25
src/components/system/highcharts/toolbar/toolbar-items/stepPattern.tsx,43,35,1,0,1,1,8
src/components/system/highcharts/toolbar/toolbar-items/verticalAxisDirection.tsx,50,41,1,1,0,0,8
src/components/system/highcharts/toolbar/toolbar-items/zoomButtons.tsx,32,27,0,0,0,0,5
src/components/system/query-tool/query-builder/internal-components/QueryDefinitionContextMenu.tsx,258,89,158,155,3,2,14
src/components/system/query-tool/query-builder/internal-components/QueryDefinitionPanel.tsx,80,65,1,0,1,1,15
src/components/system/query-tool/query-builder/internal-components/RunQueryPanel.tsx,30,25,1,0,1,1,5
src/components/system/query-tool/query-builder/internal-components/index.ts,4,4,0,0,0,0,0
src/components/system/query-tool/query-builder/internal-components/PartProps.ts,12,10,0,0,0,0,2
src/components/system/query-tool/query-builder/internal-components/queryDefinition.scss,64,46,6,6,0,0,12
src/components/system/query-tool/query-builder/internal-components/ueryViewsChooser.tsx,50,43,2,1,1,1,6
src/components/system/query-tool/query-builder/wizard/index.ts,3,3,0,0,0,0,0
src/components/system/query-tool/query-builder/wizard/queryWizardComponent.tsx,95,77,8,1,7,1,11
src/components/system/query-tool/report/sidebar/queryReportSidebar.scss,78,55,7,7,0,0,16
src/components/system/query-tool/report/sidebar/queryReportSidebar.tsx,241,199,4,2,2,1,39
